id,case_number,primary_type,location_description,arrest,area,ward,community_area,fbi_code,year,vict_age,vict_sex,victim_race,date_occ,time_occ,date_rptd,district,suspect_age,suspect_sex,suspect_race,case_status,crime_category,zip_code,priority_level,repeat_offense_flag
10001334,CPD782213,Robbery,Residence,FALSE,West Side,W39,Englewood,120,2008,75,F,Hispanic,9999-12-31T00:00:00.000Z,1832,9999-12-31T00:00:00.000Z,D03,63,Unknown,White,Under Investigation,Violent,60649,High,FALSE
10001370,CPD918343,Fraud,Parking Lot,FALSE,North Side,W41,Unknown,26A,2009,47,F,Black,9999-12-31T00:00:00.000Z,422,9999-12-31T00:00:00.000Z,D24,54,F,White,Pending,Property,60615,Medium,FALSE
10001432,CPD040083,Trespassing,School,FALSE,North Side,W30,Englewood,90J,2002,41,Unknown,Unknown,9999-12-31T00:00:00.000Z,210,9999-12-31T00:00:00.000Z,D09,52,M,White,Closed,Other,60601,Low,FALSE
10001516,CPD027532,Drug Offense,Park,FALSE,Downtown,W26,Austin,35A,2016,37,X,Hispanic,9999-12-31T00:00:00.000Z,602,9999-12-31T00:00:00.000Z,D06,-1,Unknown,White,Pending,Other,60637,Low,FALSE
10001620,CPD873414,Disorderly Conduct,Street,TRUE,West Side,W45,Loop,90C,2021,26,M,Hispanic,9999-12-31T00:00:00.000Z,405,9999-12-31T00:00:00.000Z,D16,27,X,White,Under Investigation,Other,60608,Low,TRUE
10001765,CPD984260,Auto Theft,Parking Lot,TRUE,North Side,W4,Englewood,240,2006,-1,Unknown,White,9999-12-31T00:00:00.000Z,243,9999-12-31T00:00:00.000Z,D15,69,Unknown,Black,Closed,Property,60622,Medium,FALSE
10001791,CPD253220,Disorderly Conduct,Residence,FALSE,Downtown,W15,Unknown,90C,2019,-1,X,Other,9999-12-31T00:00:00.000Z,5,9999-12-31T00:00:00.000Z,D03,71,M,Unknown,Open,Other,60637,Low,FALSE
10001863,CPD153457,Criminal Damage,Apartment,TRUE,South Side,W39,Austin,290,2022,63,X,Black,9999-12-31T00:00:00.000Z,210,9999-12-31T00:00:00.000Z,D22,79,X,White,Under Investigation,Property,60637,Medium,FALSE
10001919,CPD307989,Burglary,Public Transit,FALSE,North Side,W43,Austin,220,2006,21,X,Black,9999-12-31T00:00:00.000Z,1931,9999-12-31T00:00:00.000Z,D07,40,X,Unknown,Closed,Property,60622,Medium,FALSE
10002025,CPD633520,Robbery,Public Transit,TRUE,Downtown,W12,Englewood,120,2010,77,M,Hispanic,9999-12-31T00:00:00.000Z,420,9999-12-31T00:00:00.000Z,D02,72,X,Black,Pending,Violent,60615,High,FALSE
10002124,CPD288483,Robbery,Residence,FALSE,Downtown,W9,Austin,120,2003,67,F,Hispanic,9999-12-31T00:00:00.000Z,1223,9999-12-31T00:00:00.000Z,D21,76,Unknown,Hispanic,Under Investigation,Violent,60608,High,TRUE
10002133,CPD673680,Arson,Unknown,FALSE,North Side,W46,Unknown,200,2001,56,X,Asian,9999-12-31T00:00:00.000Z,2003,9999-12-31T00:00:00.000Z,D17,70,F,White,Under Investigation,Property,60649,High,FALSE
10002139,CPD883649,Battery,Street,FALSE,West Side,W4,Austin,13A,2021,18,M,Unknown,9999-12-31T00:00:00.000Z,739,9999-12-31T00:00:00.000Z,D14,-1,X,Hispanic,Open,Violent,60629,High,FALSE
10002177,CPD460612,Robbery,Street,FALSE,Far South Side,W41,Lakeview,120,2005,36,F,Hispanic,9999-12-31T00:00:00.000Z,1951,9999-12-31T00:00:00.000Z,D06,34,X,Hispanic,Closed,Violent,60601,High,FALSE
10002195,CPD170595,Criminal Damage,Street,TRUE,South Side,W11,Humboldt Park,290,2012,40,X,Asian,9999-12-31T00:00:00.000Z,1717,9999-12-31T00:00:00.000Z,D16,41,F,Black,Closed,Property,60601,Medium,FALSE
10002275,CPD601858,Disorderly Conduct,School,FALSE,North Side,W26,Austin,90C,2024,70,X,Black,9999-12-31T00:00:00.000Z,618,9999-12-31T00:00:00.000Z,D13,70,F,Unknown,Closed,Other,60649,Low,FALSE
10002491,CPD267045,Trespassing,Unknown,FALSE,West Side,W26,Englewood,90J,2004,63,F,Unknown,9999-12-31T00:00:00.000Z,2259,9999-12-31T00:00:00.000Z,D15,-1,X,White,Closed,Other,60629,Low,FALSE
10002792,CPD187596,Fraud,School,TRUE,South Side,W50,Humboldt Park,26A,2020,73,X,Black,9999-12-31T00:00:00.000Z,1308,9999-12-31T00:00:00.000Z,D08,62,X,Hispanic,Closed,Property,60622,Medium,FALSE
10002827,CPD005543,Auto Theft,Residence,FALSE,North Side,Unknown,Englewood,240,2005,74,F,Unknown,9999-12-31T00:00:00.000Z,940,9999-12-31T00:00:00.000Z,D25,23,M,Unknown,Under Investigation,Property,60649,Medium,TRUE
10002924,CPD303672,Battery,Residence,FALSE,Far South Side,W37,Unknown,13A,2013,74,M,Hispanic,9999-12-31T00:00:00.000Z,107,9999-12-31T00:00:00.000Z,D06,-1,X,Unknown,Closed,Violent,60649,High,FALSE
10002985,CPD867473,Fraud,Apartment,FALSE,Far South Side,W43,Humboldt Park,26A,2007,38,X,Black,9999-12-31T00:00:00.000Z,653,9999-12-31T00:00:00.000Z,D10,24,F,Unknown,Closed,Property,60608,Medium,FALSE
10002986,CPD453993,Criminal Damage,Unknown,FALSE,Downtown,W41,Englewood,290,2017,42,F,Other,9999-12-31T00:00:00.000Z,2057,9999-12-31T00:00:00.000Z,D23,54,M,White,Closed,Property,60615,Medium,FALSE
10003074,CPD374613,Burglary,Parking Lot,FALSE,North Side,W22,Humboldt Park,220,2010,33,M,Other,9999-12-31T00:00:00.000Z,2106,9999-12-31T00:00:00.000Z,D20,52,Unknown,Hispanic,Closed,Property,60619,Medium,TRUE
10003075,CPD433926,Robbery,Bar,FALSE,Far South Side,W28,Loop,120,2018,51,X,White,9999-12-31T00:00:00.000Z,2344,9999-12-31T00:00:00.000Z,D17,59,M,Unknown,Open,Violent,60625,High,FALSE
10003087,CPD139745,Sex Offense,Park,TRUE,West Side,W48,Englewood,11A,2010,-1,F,Unknown,9999-12-31T00:00:00.000Z,2241,9999-12-31T00:00:00.000Z,D19,55,F,Unknown,Closed,Violent,60637,High,FALSE
10003258,CPD773603,Battery,Park,FALSE,South Side,Unknown,Lakeview,13A,2011,78,X,Black,9999-12-31T00:00:00.000Z,335,9999-12-31T00:00:00.000Z,D09,63,M,Black,Open,Violent,60615,High,FALSE
10003330,CPD136876,Theft,Retail Store,TRUE,South Side,W41,Austin,23H,2008,60,M,Hispanic,9999-12-31T00:00:00.000Z,844,9999-12-31T00:00:00.000Z,D07,45,X,Unknown,Pending,Property,60649,Medium,FALSE
10003397,CPD074699,Fraud,Retail Store,FALSE,West Side,W21,Englewood,26A,2024,75,F,Unknown,9999-12-31T00:00:00.000Z,26,9999-12-31T00:00:00.000Z,D21,45,Unknown,Hispanic,Under Investigation,Property,60625,Medium,FALSE
10003512,CPD234186,Burglary,Unknown,FALSE,West Side,W47,Unknown,220,2007,68,F,White,9999-12-31T00:00:00.000Z,1812,9999-12-31T00:00:00.000Z,D15,54,X,Unknown,Under Investigation,Property,0,Medium,FALSE
10003575,CPD467188,Criminal Damage,Retail Store,FALSE,North Side,W9,Loop,290,2016,31,F,Unknown,9999-12-31T00:00:00.000Z,1236,9999-12-31T00:00:00.000Z,D16,22,F,White,Closed,Property,60622,Medium,FALSE
10003610,CPD356882,Disorderly Conduct,Residence,FALSE,West Side,W47,Humboldt Park,90C,2004,54,F,Hispanic,9999-12-31T00:00:00.000Z,431,9999-12-31T00:00:00.000Z,D14,-1,X,Asian,Under Investigation,Other,60629,Low,TRUE
10003614,CPD478901,Burglary,School,FALSE,North Side,W8,Loop,220,2016,47,X,White,9999-12-31T00:00:00.000Z,340,9999-12-31T00:00:00.000Z,D04,73,X,Black,Closed,Property,60625,Medium,FALSE
10003681,CPD261770,Criminal Damage,Bar,FALSE,Downtown,W4,Humboldt Park,290,2021,76,M,Unknown,9999-12-31T00:00:00.000Z,2238,9999-12-31T00:00:00.000Z,D10,23,X,Black,Under Investigation,Property,60622,Medium,FALSE
10003724,CPD830453,Battery,Bar,FALSE,West Side,W14,Humboldt Park,13A,2006,-1,X,White,9999-12-31T00:00:00.000Z,1538,9999-12-31T00:00:00.000Z,D07,-1,F,Unknown,Open,Violent,60637,High,FALSE
10003898,CPD145818,Assault,Residence,FALSE,North Side,W19,Englewood,13B,2010,25,X,Hispanic,9999-12-31T00:00:00.000Z,1521,9999-12-31T00:00:00.000Z,D08,24,X,White,Under Investigation,Violent,60649,Medium,FALSE
10003951,CPD488823,Battery,Retail Store,TRUE,Far South Side,W45,Englewood,13A,2006,50,M,White,9999-12-31T00:00:00.000Z,12,9999-12-31T00:00:00.000Z,D03,56,M,White,Under Investigation,Violent,60612,High,TRUE
10003993,CPD174380,Auto Theft,Park,FALSE,Downtown,W43,Loop,240,2005,-1,X,Hispanic,9999-12-31T00:00:00.000Z,511,9999-12-31T00:00:00.000Z,D12,61,F,White,Closed,Property,0,Medium,FALSE
10004120,CPD836046,Trespassing,Residence,FALSE,West Side,W20,Unknown,90J,2019,-1,Unknown,Asian,9999-12-31T00:00:00.000Z,2312,9999-12-31T00:00:00.000Z,D07,24,Unknown,White,Closed,Other,60649,Low,FALSE
10004279,CPD619336,Robbery,Retail Store,FALSE,North Side,W21,Austin,120,2018,32,F,White,9999-12-31T00:00:00.000Z,327,9999-12-31T00:00:00.000Z,D03,60,F,Hispanic,Under Investigation,Violent,60601,High,FALSE
10004340,CPD380922,Burglary,Unknown,TRUE,Far South Side,Unknown,Lakeview,220,2022,35,X,White,9999-12-31T00:00:00.000Z,407,9999-12-31T00:00:00.000Z,D19,56,M,White,Under Investigation,Property,60625,Medium,FALSE
10004386,CPD018647,Sex Offense,Street,TRUE,South Side,W49,Englewood,11A,2007,-1,X,Hispanic,9999-12-31T00:00:00.000Z,858,9999-12-31T00:00:00.000Z,D18,46,M,Black,Pending,Violent,60629,High,FALSE
10004424,CPD315851,Theft,Bar,FALSE,Downtown,W41,Loop,23H,2006,25,M,Black,9999-12-31T00:00:00.000Z,1039,9999-12-31T00:00:00.000Z,D19,-1,X,Hispanic,Under Investigation,Property,60612,Medium,FALSE
10004430,CPD723234,Theft,School,TRUE,South Side,W1,Englewood,23H,2001,61,X,Black,9999-12-31T00:00:00.000Z,0:00,9999-12-31T00:00:00.000Z,D05,-1,X,Black,Under Investigation,Property,0,Medium,FALSE
10004470,CPD650067,Burglary,Street,FALSE,South Side,W36,Unknown,220,2013,43,M,Hispanic,9999-12-31T00:00:00.000Z,2155,9999-12-31T00:00:00.000Z,D07,29,F,Black,Closed,Property,60612,Medium,FALSE
10004544,CPD368504,Theft,Apartment,FALSE,Downtown,W46,Humboldt Park,23H,2022,18,F,Hispanic,9999-12-31T00:00:00.000Z,908,9999-12-31T00:00:00.000Z,D01,57,F,Unknown,Under Investigation,Uncategorized,60608,Medium,FALSE
10004576,CPD559123,Fraud,Residence,TRUE,West Side,W12,Loop,26A,2015,58,M,White,9999-12-31T00:00:00.000Z,1541,9999-12-31T00:00:00.000Z,D17,52,M,Asian,Closed,Property,60629,Medium,FALSE
10004632,CPD595931,Disorderly Conduct,School,FALSE,South Side,W10,Lakeview,90C,2024,47,X,Hispanic,9999-12-31T00:00:00.000Z,219,9999-12-31T00:00:00.000Z,D17,65,X,White,Under Investigation,Other,60637,Low,FALSE
10004657,CPD882945,Criminal Damage,Alley,FALSE,Downtown,W22,Lakeview,290,2018,-1,X,White,9999-12-31T00:00:00.000Z,745,9999-12-31T00:00:00.000Z,D24,35,X,Unknown,Closed,Property,60608,Medium,FALSE
10004738,CPD948160,Robbery,Parking Lot,TRUE,Downtown,Unknown,Loop,120,2016,34,M,Hispanic,9999-12-31T00:00:00.000Z,1605,9999-12-31T00:00:00.000Z,D02,-1,F,Unknown,Pending,Violent,60649,High,FALSE
10004838,CPD624391,Theft,Apartment,FALSE,Downtown,Unknown,Loop,23H,2018,24,X,Asian,9999-12-31T00:00:00.000Z,1312,9999-12-31T00:00:00.000Z,D08,-1,F,White,Under Investigation,Property,60615,Medium,FALSE
10004852,CPD433205,Auto Theft,Bar,FALSE,North Side,Unknown,Unknown,240,2024,40,X,Hispanic,9999-12-31T00:00:00.000Z,1737,9999-12-31T00:00:00.000Z,D20,37,X,Unknown,Open,Property,60622,Medium,FALSE
10004959,CPD293404,Theft,Residence,FALSE,South Side,W37,Lakeview,23H,2011,-1,X,White,9999-12-31T00:00:00.000Z,911,9999-12-31T00:00:00.000Z,D20,42,X,Black,Closed,Property,60629,Medium,TRUE
10004963,CPD464728,Criminal Damage,Retail Store,TRUE,West Side,W10,Loop,290,2020,57,X,White,9999-12-31T00:00:00.000Z,722,9999-12-31T00:00:00.000Z,D13,73,X,Hispanic,Closed,Property,60637,Medium,TRUE
10004973,CPD503581,Theft,Residence,FALSE,Far South Side,W19,Englewood,23H,2005,-1,M,Hispanic,9999-12-31T00:00:00.000Z,1644,9999-12-31T00:00:00.000Z,D19,26,M,White,Open,Property,60615,Medium,FALSE
10004980,CPD092474,Battery,Parking Lot,FALSE,North Side,W45,Lakeview,13A,2002,62,X,Black,9999-12-31T00:00:00.000Z,1927,9999-12-31T00:00:00.000Z,D08,23,X,White,Open,Violent,60625,High,FALSE
10005046,CPD164199,Battery,Public Transit,FALSE,North Side,W15,Lakeview,13A,2010,63,X,Asian,9999-12-31T00:00:00.000Z,21,9999-12-31T00:00:00.000Z,D03,-1,X,Hispanic,Open,Violent,60612,High,FALSE
10005310,CPD719514,Theft,Retail Store,TRUE,Downtown,W47,Loop,23H,2012,25,F,Black,9999-12-31T00:00:00.000Z,2346,9999-12-31T00:00:00.000Z,D23,73,X,Hispanic,Under Investigation,Uncategorized,60615,Medium,FALSE
10005389,CPD861863,Disorderly Conduct,Retail Store,FALSE,West Side,W12,Loop,90C,2009,49,X,White,9999-12-31T00:00:00.000Z,1949,9999-12-31T00:00:00.000Z,D18,-1,X,Hispanic,Under Investigation,Other,60625,Low,TRUE
10005660,CPD984959,Arson,Public Transit,TRUE,Far South Side,Unknown,Lakeview,200,2019,54,F,Unknown,9999-12-31T00:00:00.000Z,1153,9999-12-31T00:00:00.000Z,D01,-1,X,Black,Under Investigation,Property,60649,High,FALSE
10006089,CPD035583,Robbery,Apartment,TRUE,Downtown,W5,Englewood,120,2020,75,X,Black,9999-12-31T00:00:00.000Z,517,9999-12-31T00:00:00.000Z,D21,22,X,Hispanic,Under Investigation,Violent,60622,High,TRUE
10006157,CPD528917,Battery,Public Transit,FALSE,North Side,W17,Loop,13A,2008,-1,X,Black,9999-12-31T00:00:00.000Z,1452,9999-12-31T00:00:00.000Z,D02,61,X,Hispanic,Under Investigation,Violent,60615,High,TRUE
10006384,CPD849266,Theft,Unknown,TRUE,Downtown,W33,Lakeview,23H,2006,-1,M,White,9999-12-31T00:00:00.000Z,1842,9999-12-31T00:00:00.000Z,D04,25,Unknown,Hispanic,Under Investigation,Property,60637,Medium,FALSE
10006541,CPD018442,Trespassing,Apartment,TRUE,Downtown,W14,Humboldt Park,90J,2011,68,X,Other,9999-12-31T00:00:00.000Z,1705,9999-12-31T00:00:00.000Z,D06,48,F,Hispanic,Open,Other,60649,Low,FALSE
10006679,CPD288516,Robbery,Park,FALSE,West Side,Unknown,Englewood,120,2008,29,X,White,9999-12-31T00:00:00.000Z,643,9999-12-31T00:00:00.000Z,D03,22,M,Hispanic,Closed,Violent,60619,High,TRUE
10006968,CPD444315,Trespassing,Street,FALSE,Downtown,W36,Austin,90J,2003,27,F,White,9999-12-31T00:00:00.000Z,0:00,9999-12-31T00:00:00.000Z,D10,34,M,Asian,Open,Other,60601,Low,FALSE
10007047,CPD203391,Trespassing,Public Transit,TRUE,South Side,W30,Humboldt Park,90J,2021,24,F,Hispanic,9999-12-31T00:00:00.000Z,2328,9999-12-31T00:00:00.000Z,D18,38,M,Black,Closed,Other,60619,Low,FALSE
10007166,CPD816498,Trespassing,Apartment,FALSE,South Side,W16,Austin,90J,2016,72,F,Unknown,9999-12-31T00:00:00.000Z,1800,9999-12-31T00:00:00.000Z,D22,19,F,White,Under Investigation,Other,60629,Low,FALSE
10007223,CPD169497,Assault,Parking Lot,TRUE,Far South Side,W10,Austin,13B,2011,60,F,Black,9999-12-31T00:00:00.000Z,1528,9999-12-31T00:00:00.000Z,D04,76,F,White,Open,Violent,60608,Medium,TRUE
10007230,CPD418436,Arson,Unknown,FALSE,West Side,W19,Austin,200,2006,39,F,Unknown,9999-12-31T00:00:00.000Z,0:00,9999-12-31T00:00:00.000Z,D11,19,X,Black,Under Investigation,Property,60608,High,FALSE
10007628,CPD212737,Homicide,School,FALSE,North Side,W7,Unknown,09A,2009,59,F,Hispanic,9999-12-31T00:00:00.000Z,24,9999-12-31T00:00:00.000Z,D14,66,X,Hispanic,Open,Uncategorized,60619,High,FALSE
10007665,CPD197113,Battery,Retail Store,FALSE,Far South Side,W44,Lakeview,13A,2016,27,F,Unknown,9999-12-31T00:00:00.000Z,2239,9999-12-31T00:00:00.000Z,D15,80,F,Hispanic,Under Investigation,Violent,60615,High,FALSE
10007719,CPD803150,Robbery,Bar,FALSE,West Side,W49,Loop,120,2022,80,M,Asian,9999-12-31T00:00:00.000Z,1458,9999-12-31T00:00:00.000Z,D01,-1,Unknown,White,Closed,Violent,60619,Normal,FALSE
10007742,CPD724340,Auto Theft,Alley,TRUE,West Side,W35,Humboldt Park,240,2008,20,X,Black,9999-12-31T00:00:00.000Z,640,9999-12-31T00:00:00.000Z,D25,36,F,Unknown,Open,Property,60637,Medium,FALSE
10007748,CPD959322,Assault,Residence,FALSE,Downtown,W20,Loop,13B,2010,29,M,Hispanic,9999-12-31T00:00:00.000Z,1433,9999-12-31T00:00:00.000Z,D03,79,Unknown,Black,Open,Violent,0,Medium,FALSE
10007767,CPD998659,Trespassing,Park,FALSE,Far South Side,W31,Englewood,90J,2011,45,X,Hispanic,9999-12-31T00:00:00.000Z,518,9999-12-31T00:00:00.000Z,D20,36,X,Black,Open,Other,60608,Low,FALSE
10007951,CPD629866,Theft,Apartment,TRUE,Far South Side,W36,Lakeview,23H,2005,75,F,Hispanic,9999-12-31T00:00:00.000Z,714,9999-12-31T00:00:00.000Z,D22,-1,Unknown,Black,Open,Property,60612,Medium,FALSE
10008072,CPD267256,Weapons Violation,Public Transit,TRUE,Far South Side,Unknown,Austin,520,2005,26,X,White,9999-12-31T00:00:00.000Z,1713,9999-12-31T00:00:00.000Z,D02,-1,Unknown,Asian,Closed,Other,60619,Medium,FALSE
10008128,CPD739970,Burglary,Street,FALSE,Downtown,W29,Englewood,220,2008,59,M,White,9999-12-31T00:00:00.000Z,2,9999-12-31T00:00:00.000Z,D10,50,F,Unknown,Under Investigation,Property,60649,Medium,FALSE
10008284,CPD145831,Theft,Apartment,TRUE,West Side,W50,Humboldt Park,23H,2010,58,X,Black,9999-12-31T00:00:00.000Z,1659,9999-12-31T00:00:00.000Z,D09,77,F,Unknown,Closed,Property,60637,Medium,TRUE
10008315,CPD039428,Weapons Violation,Park,FALSE,North Side,W18,Austin,520,2013,59,X,Hispanic,9999-12-31T00:00:00.000Z,839,9999-12-31T00:00:00.000Z,D01,-1,X,Hispanic,Closed,Other,60601,Medium,FALSE
10008509,CPD117622,Auto Theft,Park,FALSE,Far South Side,W29,Austin,240,2005,62,F,White,9999-12-31T00:00:00.000Z,346,9999-12-31T00:00:00.000Z,D11,63,X,Hispanic,Open,Property,60622,Medium,FALSE
10008574,CPD668644,Robbery,Retail Store,TRUE,Downtown,W46,Unknown,120,2024,65,M,White,9999-12-31T00:00:00.000Z,411,9999-12-31T00:00:00.000Z,D06,64,M,Black,Closed,Violent,60612,High,FALSE
10008658,CPD740279,Criminal Damage,Bar,FALSE,Far South Side,W1,Unknown,290,2023,40,X,Black,9999-12-31T00:00:00.000Z,0:00,9999-12-31T00:00:00.000Z,D18,73,X,White,Closed,Property,60622,Medium,FALSE
10008675,CPD330112,Robbery,Bar,FALSE,West Side,W39,Humboldt Park,120,2018,48,X,White,9999-12-31T00:00:00.000Z,856,9999-12-31T00:00:00.000Z,D17,-1,M,White,Closed,Violent,60612,High,FALSE
10008696,CPD833687,Robbery,Residence,FALSE,Far South Side,W11,Englewood,120,2001,28,F,Asian,9999-12-31T00:00:00.000Z,627,9999-12-31T00:00:00.000Z,D23,29,X,Hispanic,Closed,Uncategorized,60649,High,FALSE
10008697,CPD458443,Sex Offense,Retail Store,FALSE,West Side,W18,Unknown,11A,2020,58,X,White,9999-12-31T00:00:00.000Z,2110,9999-12-31T00:00:00.000Z,D14,72,F,White,Open,Violent,60615,High,FALSE
10008712,CPD020249,Robbery,Bar,TRUE,South Side,W19,Austin,120,2014,19,X,Black,9999-12-31T00:00:00.000Z,1330,9999-12-31T00:00:00.000Z,D03,22,F,Black,Closed,Violent,60615,High,FALSE
10008888,CPD354284,Fraud,Street,TRUE,South Side,W39,Englewood,26A,2009,23,M,Hispanic,9999-12-31T00:00:00.000Z,2358,9999-12-31T00:00:00.000Z,D14,30,F,Asian,Pending,Property,60601,Medium,FALSE
10009083,CPD872522,Arson,Residence,TRUE,South Side,W46,Lakeview,200,2011,55,X,Hispanic,9999-12-31T00:00:00.000Z,126,9999-12-31T00:00:00.000Z,D06,35,M,Black,Under Investigation,Property,60608,High,FALSE
10009102,CPD864994,Robbery,Bar,TRUE,Downtown,W5,Austin,120,2002,80,X,White,9999-12-31T00:00:00.000Z,815,9999-12-31T00:00:00.000Z,D02,-1,M,Unknown,Open,Violent,60629,Normal,FALSE
10009112,CPD009210,Trespassing,Public Transit,TRUE,North Side,W46,Unknown,90J,2018,57,F,Hispanic,9999-12-31T00:00:00.000Z,0:00,9999-12-31T00:00:00.000Z,D13,-1,F,Unknown,Under Investigation,Other,60601,Low,FALSE
10009140,CPD655197,Trespassing,Retail Store,FALSE,South Side,W5,Humboldt Park,90J,2005,78,F,Asian,9999-12-31T00:00:00.000Z,1127,9999-12-31T00:00:00.000Z,D20,32,X,Unknown,Open,Other,60649,Low,FALSE
10009153,CPD496741,Theft,School,FALSE,Downtown,W4,Humboldt Park,23H,2004,43,F,Black,9999-12-31T00:00:00.000Z,1901,9999-12-31T00:00:00.000Z,D16,75,M,Hispanic,Pending,Property,60619,Medium,FALSE
10009234,CPD836068,Disorderly Conduct,School,FALSE,Downtown,Unknown,Lakeview,90C,2016,-1,M,Unknown,9999-12-31T00:00:00.000Z,452,9999-12-31T00:00:00.000Z,D11,61,X,Black,Closed,Other,60637,Low,FALSE
10009304,CPD165926,Robbery,Park,TRUE,West Side,W35,Englewood,120,2011,-1,F,Unknown,9999-12-31T00:00:00.000Z,727,9999-12-31T00:00:00.000Z,D12,73,X,Hispanic,Open,Violent,60622,High,TRUE
10009337,CPD748729,Criminal Damage,Alley,FALSE,West Side,W4,Loop,290,2006,36,Unknown,Black,9999-12-31T00:00:00.000Z,224,9999-12-31T00:00:00.000Z,D07,63,X,Black,Open,Property,60622,Medium,FALSE
10009487,CPD524066,Weapons Violation,Parking Lot,FALSE,Far South Side,W46,Humboldt Park,520,2023,21,X,White,9999-12-31T00:00:00.000Z,1654,9999-12-31T00:00:00.000Z,D11,22,F,Hispanic,Under Investigation,Other,60615,Medium,FALSE
10009512,CPD149215,Theft,Retail Store,FALSE,North Side,W15,Englewood,23H,2023,51,F,Hispanic,9999-12-31T00:00:00.000Z,1058,9999-12-31T00:00:00.000Z,D21,72,X,Black,Open,Property,60615,Medium,TRUE
10009565,CPD642297,Theft,Unknown,FALSE,North Side,W36,Lakeview,23H,2022,71,M,Hispanic,9999-12-31T00:00:00.000Z,808,9999-12-31T00:00:00.000Z,D07,38,M,Black,Closed,Uncategorized,60629,Medium,FALSE
10009595,CPD467106,Drug Offense,Residence,FALSE,Downtown,W44,Englewood,35A,2023,69,M,Unknown,9999-12-31T00:00:00.000Z,1755,9999-12-31T00:00:00.000Z,D16,44,M,Unknown,Closed,Uncategorized,60615,Low,FALSE
10009799,CPD877783,Criminal Damage,Parking Lot,TRUE,Downtown,Unknown,Austin,290,2012,-1,F,White,9999-12-31T00:00:00.000Z,1634,9999-12-31T00:00:00.000Z,D01,25,M,Hispanic,Closed,Property,60619,Normal,FALSE
10009938,CPD119396,Burglary,Parking Lot,FALSE,North Side,W44,Englewood,220,2015,39,F,White,9999-12-31T00:00:00.000Z,612,9999-12-31T00:00:00.000Z,D22,35,M,Asian,Closed,Property,60615,Medium,FALSE
10010017,CPD158622,Burglary,Retail Store,TRUE,South Side,W3,Austin,220,2002,67,M,Hispanic,9999-12-31T00:00:00.000Z,1442,9999-12-31T00:00:00.000Z,D05,23,M,Hispanic,Under Investigation,Uncategorized,60649,Medium,FALSE
10010146,CPD613390,Trespassing,Residence,FALSE,North Side,W21,Lakeview,90J,2014,24,F,Unknown,9999-12-31T00:00:00.000Z,1906,9999-12-31T00:00:00.000Z,D16,48,X,Hispanic,Under Investigation,Other,60625,Low,FALSE
